posId,storeId,clientCode,userName,password,referenceStoreInPos,posAPIType,category,storeRosterCode,companyId,integrationProviderId,scheduleCheckerLatestPosTime,scheduleCheckerEarliestReportTime,createdOn,UpdatedOn
230,190034,301,NULL,NULL,NULL,2,TE,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
231,190035,301,NULL,NULL,NULL,2,FN,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
232,190036,301,NULL,NULL,NULL,2,SU,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
233,190037,301,NULL,NULL,NULL,2,SE,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
234,190038,301,NULL,NULL,NULL,2,PC,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
235,190042,253,NULL,NULL,NULL,2,OS,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
236,190043,253,NULL,NULL,NULL,2,TE,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
237,190044,253,NULL,NULL,NULL,2,FN,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
238,190045,253,NULL,NULL,NULL,2,SU,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
239,190046,253,NULL,NULL,NULL,2,SE,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
240,190047,253,NULL,NULL,NULL,2,PC,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
259,190049,253,NULL,NULL,NULL,2,Ink,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
260,190050,253,NULL,NULL,NULL,2,Cables,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
261,190051,301,NULL,NULL,NULL,2,"Fashion Canyon",NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
262,190052,301,NULL,NULL,NULL,2,Ink,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
263,190053,301,NULL,NULL,NULL,2,Cables,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
264,190054,308,NULL,NULL,NULL,2,"Fashion Canyon",NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
265,190055,308,NULL,NULL,NULL,2,Ink,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
266,190056,308,NULL,NULL,NULL,2,Cables,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
267,190057,360,NULL,NULL,NULL,2,"Fashion Canyon",NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
268,190058,360,NULL,NULL,NULL,2,Ink,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
269,190059,360,NULL,NULL,NULL,2,Cables,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
270,7,002,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
271,75,101,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
272,6,001,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
273,69,810,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
274,348,806,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
276,351,804,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
277,352,814,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
278,353,825,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
279,354,817,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
280,350,821,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
282,10022,304,NULL,NULL,NULL,2,"OS,TE,PC,SU,FN,SE",NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
283,190164,304,NULL,NULL,NULL,2,OS,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
284,190165,304,NULL,NULL,NULL,2,TE,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
285,190166,304,NULL,NULL,NULL,2,FN,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
286,190167,304,NULL,NULL,NULL,2,SU,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
287,190168,304,NULL,NULL,NULL,2,SE,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
288,190169,304,NULL,NULL,NULL,2,PC,NULL,120,NULL,NULL,NULL,"2018-11-01 05:15:41","2020-12-11 08:55:24"
289,190170,304,NULL,NULL,NULL,2,"Fashion Canyon",NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
290,190171,304,NULL,NULL,NULL,2,Ink,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
291,190172,304,NULL,NULL,NULL,2,Cables,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
292,320,"Altona North",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
293,321,"South Melbourne",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
294,311,Bondi,,,2026,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
295,383,Southland,,,3024,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
296,393,"Browns Plains",,,4020,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
297,422,Indooroopilly,,,4012,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
303,42,92,,,NULL,2,NULL,NULL,50,4,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:17"
304,157,"CHAPEL ST",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
305,363,"BOURKE ST FLAGSHIP",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
306,373,"MELBOURNE CENTRAL",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
308,438,"Knox City",,,3055,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
309,452,"Port Macquarie",,,2049,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
310,191,Chadstone,,,NULL,2,NULL,NULL,24,7,00:00:00,NULL,"2018-11-01 05:15:41","2020-05-06 04:47:16"
311,193,"Strand Arcade",,,NULL,2,NULL,NULL,24,7,00:00:00,NULL,"2018-11-01 05:15:41","2020-05-06 04:47:16"
312,215,"Block Arcade",,,NULL,2,NULL,NULL,24,7,00:00:00,NULL,"2018-11-01 05:15:41","2020-05-06 04:47:16"
313,436,NULL,,,NULL,2,NULL,NULL,24,7,00:00:00,NULL,"2018-11-01 05:15:41","2020-11-06 00:13:24"
314,437,Carlton,,,NULL,2,NULL,NULL,24,7,00:00:00,NULL,"2018-11-01 05:15:41","2020-05-06 04:47:16"
315,15,410218,API,Grey1234,16,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
317,21,410218,API,Grey1234,12,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
318,34,410218,API,Grey1234,1,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
319,19,410218,API,Grey1234,15,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
320,12,PharmaSave_Northcote_Pharmacy,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
321,27,PharmaSave_Northcote_Plaza,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-01 05:15:41","2018-11-01 05:20:52"
324,25,410218,API,Grey1234,13,1,NULL,NULL,18,9,00:00:00,06:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
325,457,8,,,221,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
326,455,8,,,221,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
327,454,8,,,221,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
328,459,3,,,219,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
329,458,3,,,219,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
330,460,3,,,219,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
332,462,9,,,222,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
333,463,9,,,222,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
334,465,9,,,222,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
335,471,7,,,218,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-24 00:57:13"
336,472,7,,,218,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-24 00:57:13"
337,10039,7,,,218,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-24 00:57:13"
338,473,6,,,227,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
339,474,6,,,227,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
340,10040,6,,,227,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
341,479,10,,,220,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
342,480,10,,,220,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
343,10043,10,,,220,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
344,483,20,,,229,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
345,484,20,,,229,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
346,10045,20,,,229,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
347,64,"Melbourne Central",,,3025,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
348,76,Chadstone,,,3031,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
350,85,Frankston,,,3014,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
351,114,Highpoint,,,3018,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
352,10038,1,,,223,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
353,468,1,,,223,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
354,469,1,,,223,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
355,10044,14,,,224,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
356,482,14,,,224,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
357,481,14,,,224,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
358,10042,12,,,311,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
359,478,12,,,311,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-21 17:12:27"
360,477,12,,,311,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-21 17:12:27"
361,10041,13,,,228,2,NULL,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-05-05 07:44:21"
362,475,13,,,228,2,Retail,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-21 17:13:44"
363,476,13,,,228,2,Lounge,NULL,45,4,03:00:00,06:45:00,"2018-11-01 05:15:41","2020-11-21 17:13:45"
457,570,Penrith,,,2022,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
458,446,Miranda,,,2018,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
459,444,Hurstville,,,2100,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
460,430,"Macarthur Square",,,2013,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
461,426,"Wetherill Park",,,2067,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
462,565,Shepparton,,,3023,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
463,409,Charlestown,,,2034,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
464,403,Eastgardens,,,2020,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
465,601,Launceston,,,7010,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
466,498,"Wagga Wagga",,,2052,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
468,529,"Midland Gate",,,6013,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
469,588,"Adelaide City",,,5024,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
470,605,"Albany NZ",,,9020,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
471,442,Bankstown,,,2010,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
472,494,Belconnen,,,8011,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
473,577,Blacktown,,,2109,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
474,575,Booragoon,,,6022,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
475,531,Bunbury,,,6021,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
476,439,Burwood,,,2069,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
477,492,"Canberra Centre",,,8014,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
478,536,Carindale,,,4037,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
479,520,Cairns,,,4030,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
480,586,Carousel,,,6020,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
493,561,Casuarina,,,5101,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
494,603,"Cat & Fiddle Hobart",,,7012,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
495,423,Chermside,,,4065,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
496,140,Chirnside,,,3012,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
497,599,Colonnades,,,5012,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
498,615,Elizabeth,,,5013,2,NULL,NULL,36,4,00:00:00,04:00:00,"2018-11-01 05:15:41","2020-05-06 04:47:16"
